"Incident.Type";"Complaint.Tracking.Number";"Date.Complaint.Occurred";"Date.Complaint.Received.by.NOPD..PIB.";"Date.Complaint.Investigation.Complete";"Complaint.classification";"Investigation.status";"Disposition";"Bureau.of.Complainant";"Division.of.Complainant";"Unit.of.Complainant";"Unit.Additional.Details.of.Complainant";"Working.Status.of.Complainant";"Shift.of.Complainant";"Rule.Violation";"Paragraph.Violation";"Unique.Officer.Allegation.ID";"Officer.Race.Ethnicity";"Officer.Gender";"Officer.Age";"Officer.years.of.service";"Complainant.Gender";"Complainant.Ethnicity";"Complainant.Age"
"68";"Public Initiated";"2016-0060-P";"1/30/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"7/2/2018 12:00:00 AM";"DI-1";"Completed";"Sustained";"MSB - Management Services Bureau";"Education/Training & Recruitment Division";"Training Section";"Special Assignment";"Regular Working";"Between 3pm-11pm";"RULE 2: MORAL CONDUCT";"PARAGRAPH 02 - COURTESY";31388;"Black";"Male";56;15;"";"";NA
"69";"Public Initiated";"2016-0063-P";"1/19/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"6/16/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"3rd District";"C Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31302;"Black";"Male";36;14;"Female";"Black";53
"70";"Public Initiated";"2016-0063-P";"1/19/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"6/16/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"3rd District";"C Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";33838;"";"";NA;NA;"Female";"Black";53
"71";"Public Initiated";"2016-0066-N";"11/13/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"3/9/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"Unknown Bureau";"Unknown District/Division";"Unknown";"Unknown Assignment";"Unknown Working Status";"Unknown Shift Hours";"NO VIOLATION OBSERVED";"";31665;"White";"Male";44;10;"Male";"Black";48
"72";"Public Initiated";"2016-0068-N";"1/17/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"3/23/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"Unknown Bureau";"Unknown District/Division";"Unknown";"Unknown Assignment";"Unknown Working Status";"Unknown Shift Hours";"NO ALLIGATIONS ASSIGNED AT THIS TIME";"";32619;"";"";NA;NA;"Female";"White";55
"73";"Public Initiated";"2016-0064-N";"1/31/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"3/9/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"Unknown Bureau";"Unknown District/Division";"Unknown";"Unknown Assignment";"Unknown Working Status";"Unknown Shift Hours";"NO VIOLATION OBSERVED";"";31666;"";"";NA;NA;"";"";NA
"74";"Public Initiated";"2016-0053-P";"1/26/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"3/9/2016 12:00:00 AM";"Mediation";"Completed";"Withdrawn - Mediation";"FOB - Field Operations Bureau";"8th District";"8th District";"Patrol";"Regular Working";"Between 3pm-11pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31587;"Black";"Male";40;11;"Female";"Hispanic";34
"75";"Public Initiated";"2016-0053-P";"1/26/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"3/9/2016 12:00:00 AM";"Mediation";"Completed";"Withdrawn - Mediation";"FOB - Field Operations Bureau";"8th District";"8th District";"Patrol";"Regular Working";"Between 3pm-11pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31589;"White";"Male";27;6;"Female";"Hispanic";34
"76";"Public Initiated";"2016-0067-P";"";"2/1/2016 12:00:00 AM";"3/13/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"5th District";"Task Force";"A Platoon";"Regular Working";"";"";"";31571;"Asian/Pacif";"Male";NA;11;"Male";"Black";NA
"77";"Public Initiated";"2016-0067-P";"";"2/1/2016 12:00:00 AM";"3/13/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"5th District";"Task Force";"A Platoon";"Regular Working";"";"";"";31577;"Black";"Male";NA;10;"Male";"Black";NA
"78";"Public Initiated";"2016-0067-P";"";"2/1/2016 12:00:00 AM";"3/13/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"5th District";"Task Force";"A Platoon";"Regular Working";"";"";"";33998;"Black";"Male";NA;6;"Male";"Black";NA
"79";"Public Initiated";"2016-0071-P";"2/1/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"6/16/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"4th District";"3rd Platoon";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31376;"Not Specifie";"Male";27;5;"Sex-Unk";"Race-Unknown";NA
"80";"Rank Initiated";"2016-0077-R";"1/25/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"8/21/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"MSB - Management Service Bureau";"Administrative Duties Services";"Extended Sick";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";31304;"Black";"Male";42;15;"Female";"Black";NA
"81";"Public Initiated";"2016-0065-N";"";"2/1/2016 12:00:00 AM";"3/23/2016 12:00:00 AM";"DI-1";"Completed";"NFIM";"MSB - Management Service Bureau";"Education/Training & Recruitment Division";"Recruitment Division";"Staff";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 05 - VERBAL INTIMIDATION";31791;"";"";NA;NA;"Sex-Unk";"Race-Unknown";NA
"82";"Public Initiated";"2016-0074-P";"1/2/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"6/16/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"2nd District";"A Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31414;"Black";"Female";29;5;"Male";"Black";35
"83";"Public Initiated";"2016-0069-P";"1/31/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"6/23/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"Narcotics";"Squad 2";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";31720;"";"";NA;NA;"Male";"Black";28
"84";"Public Initiated";"2016-0069-P";"1/31/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"6/23/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"Narcotics";"Squad 2";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";38868;"White";"Male";41;10;"Male";"Black";28
"85";"Public Initiated";"2016-0069-P";"1/31/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"6/23/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"Narcotics";"Squad 2";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";38870;"White";"Male";52;22;"Male";"Black";28
"86";"Public Initiated";"2016-0069-P";"1/31/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"6/23/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"Narcotics";"Squad 2";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";38871;"White";"Female";39;5;"Male";"Black";28
"87";"Public Initiated";"2016-0069-P";"1/31/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"6/23/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"Narcotics";"Squad 2";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";38873;"Black";"Male";33;7;"Male";"Black";28
"88";"Public Initiated";"2016-0069-P";"1/31/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"6/23/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"Narcotics";"Squad 2";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";38875;"White";"Male";27;6;"Male";"Black";28
"89";"Public Initiated";"2016-0069-P";"1/31/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"6/23/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"Narcotics";"Squad 2";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";38877;"White";"Male";35;11;"Male";"Black";28
"90";"Public Initiated";"2016-0069-P";"1/31/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"6/23/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"Narcotics";"Squad 2";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";38879;"White";"Male";54;22;"Male";"Black";28
"91";"Public Initiated";"2016-0073-P";"1/22/2016 12:00:00 AM";"2/2/2016 12:00:00 AM";"5/26/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"3rd District";"3rd District";"Patrol";"Regular Working";"Between 11pm-7am";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";31516;"Black";"Male";36;14;"Female";"Race-Unknown";NA
"92";"Public Initiated";"2016-0075-N";"1/31/2016 12:00:00 AM";"2/2/2016 12:00:00 AM";"3/23/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"3rd District";"3rd District";"Patrol";"Regular Working";"Between 7am-3pm";"";"";31568;"White";"Male";47;22;"Male";"Black";40
"93";"Public Initiated";"2016-0055-P";"1/29/2016 12:00:00 AM";"2/2/2016 12:00:00 AM";"2/19/2016 12:00:00 AM";"Mediation";"Completed";"Withdrawn - Mediation";"FOB - Field Operations Bureau";"7th District";"Evening Watch";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31250;"Black";"Female";40;15;"Male";"Black";30
"94";"Rank Initiated";"2016-0059-R";"1/30/2016 12:00:00 AM";"2/2/2016 12:00:00 AM";"6/28/2018 12:00:00 AM";"DI-1";"Completed";"Sustained";"Not - NOPD Officer";"8th District";"8th District";"NOLA Patrol Specialist ";"Regular Working";"Between 7am-3pm";"";"";31252;"Black";"Female";25;4;"";"";NA
"95";"Rank Initiated";"2016-0057-R";"1/30/2016 12:00:00 AM";"2/4/2016 12:00:00 AM";"10/16/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"ISB - Investigations and Support Bureau";"Criminal Investigations Division";"Special Victims  Section";"Sex Offender Registration";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";31310;"Black";"Female";40;12;"";"";NA
"96";"Rank Initiated";"2016-0070-R";"2/1/2016 12:00:00 AM";"2/4/2016 12:00:00 AM";"8/23/2016 12:00:00 AM";"DI-1";"Completed";"Sustained";"ISB - Investigations and Support Bureau";"Crime Lab and Evidence Division";"Central Evidence & Property Section ";"Platoon C";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";31327;"Black";"Female";28;11;"";"";NA
"97";"Public Initiated";"2016-0040-P";"1/9/2016 12:00:00 AM";"2/4/2016 12:00:00 AM";"3/27/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"1st District";"3rd Platoon";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31329;"Black";"Male";51;10;"Female";"Black";47
"98";"Public Initiated";"2016-0048-P";"1/13/2016 12:00:00 AM";"2/4/2016 12:00:00 AM";"3/28/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"8th District";"B Platoon";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31331;"Black";"Female";31;10;"Male";"Black";41
"99";"Public Initiated";"2016-0078-P";"";"2/4/2016 12:00:00 AM";"6/16/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"Special Events";"6th District";"Special Assignment";"Regular Working";"Between 3pm-11pm";"RULE 2: MORAL CONDUCT";"PARAGRAPH 02 - COURTESY";31400;"Black";"Male";NA;9;"Female";"Black";NA
"100";"Public Initiated";"2016-0037-P";"1/16/2016 12:00:00 AM";"2/5/2016 12:00:00 AM";"";"DI-1";"Active";"Pending";"FOB - Field Operations Bureau";"8th District";"A Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"";"";31353;"Hispanic";"Male";55;22;"Male";"Black";48
"101";"Public Initiated";"2016-0037-P";"1/16/2016 12:00:00 AM";"2/5/2016 12:00:00 AM";"";"DI-1";"Active";"Pending";"FOB - Field Operations Bureau";"8th District";"A Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"";"";31356;"White";"Male";36;5;"Male";"Black";48
"102";"Public Initiated";"2016-0096-P";"1/30/2016 12:00:00 AM";"2/5/2016 12:00:00 AM";"2/28/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"5th District";"A Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31474;"Black";"Female";33;12;"Female";"Black";31
"103";"Public Initiated";"2016-0096-P";"1/30/2016 12:00:00 AM";"2/5/2016 12:00:00 AM";"2/28/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"5th District";"A Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31476;"Black";"Male";38;4;"Female";"Black";31
"104";"Public Initiated";"2016-0096-P";"1/30/2016 12:00:00 AM";"2/5/2016 12:00:00 AM";"2/28/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"5th District";"A Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31477;"Black";"Female";42;22;"Female";"Black";31
"105";"Public Initiated";"2016-0083-P";"2/5/2016 12:00:00 AM";"2/5/2016 12:00:00 AM";"6/16/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"ISB - Investigative Services Bureau";"ISB Staff";"Court Liaison";"Special Assignment";"Regular Working";"Between 3pm-11pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31547;"Black";"Male";58;29;"Male";"Race-Unknown";35
"106";"Public Initiated";"2016-0079-P";"2/3/2016 12:00:00 AM";"2/5/2016 12:00:00 AM";"6/8/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"MSB - Management Service Bureau";"Records & Identification / Support Services Divisi";"Support Services";"Staff";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31640;"Black";"Female";38;20;"Female";"Black";43
"107";"Rank Initiated";"2016-0034-R";"1/3/2016 12:00:00 AM";"2/5/2016 12:00:00 AM";"7/21/2016 12:00:00 AM";"DI-1";"Completed";"Sustained";"ISB - Investigations and Support Bureau";"Crime Lab and Evidence Division";"Central Evidence & Property Section ";"Platoon C";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31372;"Black";"Female";28;11;"";"";NA
"108";"Rank Initiated";"2016-0081-R";"1/31/2016 12:00:00 AM";"2/5/2016 12:00:00 AM";"6/16/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"8th District";"Adminstrative Staff";"ADD Special Assignment";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 01 - REPORTING FOR DUTY";31418;"White";"Male";40;16;"";"";NA
"109";"Rank Initiated";"2016-0061-R";"1/15/2016 12:00:00 AM";"2/6/2016 12:00:00 AM";"6/16/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"";"Crime Lab Division";"";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 03 - HONESTY AND TRUTHFULNESS";31403;"Black";"Female";31;6;"";"";NA
"110";"Public Initiated";"2016-0085-P";"2/6/2016 12:00:00 AM";"2/7/2016 12:00:00 AM";"3/27/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"2nd District";"C Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31612;"White";"Male";37;15;"Male";"White";40
"111";"Public Initiated";"2016-0089-N";"7/27/2015 12:00:00 AM";"2/8/2016 12:00:00 AM";"3/23/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"1st District";"Staff";"";"";"";"";"";31561;"";"";NA;NA;"Female";"Black";67
"112";"Public Initiated";"2016-0084-P";"2/4/2016 12:00:00 AM";"2/8/2016 12:00:00 AM";"6/16/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"Special Operations Division";"K9 Section";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 02 - COURTESY";31405;"Black";"Male";58;2;"";"";NA
"113";"Public Initiated";"2016-0087-P";"2/7/2016 12:00:00 AM";"2/8/2016 12:00:00 AM";"3/23/2016 12:00:00 AM";"Mediation";"Completed";"Withdrawn - Mediation";"FOB - Field Operations Bureau";"4th District";"Evening Watch";"Patrol";"Regular Working";"Between 11pm-7am";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31679;"Black";"Female";28;7;"Female";"Black";20
"114";"Public Initiated";"2016-0090-P";"";"2/8/2016 12:00:00 AM";"3/22/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"8th District";"A Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31747;"Black";"Female";NA;15;"Female";"Black";NA
"115";"Public Initiated";"2016-0090-P";"";"2/8/2016 12:00:00 AM";"3/22/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"8th District";"A Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31748;"White";"Male";NA;22;"Female";"Black";NA
"116";"Public Initiated";"2016-0090-P";"";"2/8/2016 12:00:00 AM";"3/22/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"8th District";"A Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31749;"Black";"Male";NA;27;"Female";"Black";NA
"117";"Public Initiated";"2016-0086-N";"2/7/2016 12:00:00 AM";"2/8/2016 12:00:00 AM";"3/26/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"Unknown District/Division";"Unknown";"Patrol";"Regular Working";"Between 11pm-7am";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31866;"";"";NA;NA;"Male";"Hispanic";33
"118";"Public Initiated";"2016-0084-P";"2/4/2016 12:00:00 AM";"2/8/2016 12:00:00 AM";"6/16/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"Special Operations Division";"K9 Section";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 02 - COURTESY";31405;"Black";"Male";58;2;"Female";"Black";22
"119";"Public Initiated";"2016-0051-P";"1/28/2016 12:00:00 AM";"2/8/2016 12:00:00 AM";"6/15/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"7th District";"Day Watch";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31420;"Black";"Female";35;16;"";"";NA
"120";"Public Initiated";"2016-0051-P";"1/28/2016 12:00:00 AM";"2/8/2016 12:00:00 AM";"6/15/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"7th District";"Day Watch";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31422;"Black";"Male";39;21;"";"";NA
"121";"Public Initiated";"2016-0051-P";"1/28/2016 12:00:00 AM";"2/8/2016 12:00:00 AM";"6/15/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"7th District";"Day Watch";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31425;"Black";"Male";56;27;"";"";NA
"122";"Public Initiated";"2016-0051-P";"1/28/2016 12:00:00 AM";"2/8/2016 12:00:00 AM";"6/15/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"7th District";"Day Watch";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31428;"Black";"Male";51;32;"";"";NA
"123";"Public Initiated";"2016-0091-N";"2/7/2016 12:00:00 AM";"2/9/2016 12:00:00 AM";"3/26/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"7th District";"7th District";"Patrol";"Regular Working";"Between 7am-3pm";"NO VIOLATION OBSERVED";"";31871;"White";"Male";51;4;"Female";"Black";56
"124";"Public Initiated";"2016-0062-P";"1/24/2016 12:00:00 AM";"2/9/2016 12:00:00 AM";"6/8/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"5th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31442;"White";"Male";28;5;"Female";"White";29
"125";"Public Initiated";"2016-0062-P";"1/24/2016 12:00:00 AM";"2/9/2016 12:00:00 AM";"6/8/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"5th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31444;"Black";"Male";27;5;"Female";"White";29
"126";"Public Initiated";"2016-0099-P";"2/4/2016 12:00:00 AM";"2/10/2016 12:00:00 AM";"3/15/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"6th District";"A Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";31497;"White";"Male";30;10;"Male";"Black";38
"127";"Public Initiated";"2016-0100-P";"2/10/2016 12:00:00 AM";"2/10/2016 12:00:00 AM";"9/30/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"Alternative Police Response";"Alternative Police Response";"";"Unknown Working Status";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31499;"Black";"Male";36;11;"Male";"Black";25
"128";"Public Initiated";"2016-0097-P";"1/23/2016 12:00:00 AM";"2/10/2016 12:00:00 AM";"3/21/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"7th District";"7th District";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31638;"White";"Male";32;5;"Female";"Black";29
"129";"Public Initiated";"2016-0088-N";"2/6/2016 12:00:00 AM";"2/10/2016 12:00:00 AM";"3/3/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"";"Not Nopd";"";"";"";"";"NO VIOLATION OBSERVED";"";31664;"";"";NA;NA;"";"";NA
"130";"Public Initiated";"2016-0088-N";"2/6/2016 12:00:00 AM";"2/10/2016 12:00:00 AM";"3/3/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"";"Not Nopd";"";"";"";"";"NO VIOLATION OBSERVED";"";31664;"";"";NA;NA;"";"";NA
"131";"Rank Initiated";"2016-0094-R";"2/10/2016 12:00:00 AM";"2/10/2016 12:00:00 AM";"5/26/2016 12:00:00 AM";"DI-1";"Completed";"Sustained";"MSB - Management Services Bureau";"Police Recruits";"";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";31454;"Black";"Male";29;NA;"";"";NA
"132";"Rank Initiated";"2016-0093-R";"2/9/2016 12:00:00 AM";"2/10/2016 12:00:00 AM";"12/29/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"Office of the Superintendant";"Technology Section";"Administration";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 05 - VERBAL INTIMIDATION";31642;"White";"Male";44;22;"";"";NA
"133";"Public Initiated";"2016-0095-P";"2/10/2016 12:00:00 AM";"2/11/2016 12:00:00 AM";"6/21/2018 12:00:00 AM";"DI-1";"Completed";"Sustained";"MSB - Management Services Bureau";"Technology Section";"Staff";"Adminstrative Staff";"Off Duty";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 02 -Abuse of Position";31715;"White";"Male";44;22;"Male";"White";NA
"134";"Public Initiated";"2016-0103-P";"2/11/2016 12:00:00 AM";"2/12/2016 12:00:00 AM";"3/7/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"Unknown District/Division";"Homicide Section";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";31879;"White";"Female";37;12;"";"";NA
"135";"Public Initiated";"2016-0103-P";"2/11/2016 12:00:00 AM";"2/12/2016 12:00:00 AM";"3/7/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"Unknown District/Division";"Homicide Section";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";31880;"";"";NA;NA;"";"";NA
